City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Barrow,US,71.2906,-156.7887,-9.38,70,75,16.11,broken clouds
116,Kiama,AU,-34.6833,150.8667,78.39,49,69,11.99,broken clouds
117,Deputatskiy,RU,69.3,139.9,0.05,86,99,3.13,overcast clouds
118,Beloha,MG,-25.1667,45.05,75.87,50,0,4.74,clear sky
119,Saint-Philippe,RE,-21.3585,55.7679,74.1,91,100,16.24,moderate rain
120,Hobyo,SO,5.3505,48.5268,83.12,66,41,13.33,scattered clouds
121,Blackwater,AU,-23.5833,148.8833,90.99,31,30,11.27,scattered clouds
122,Bluff,NZ,-46.6,168.3333,57.52,73,77,17.38,broken clouds
123,Bam,IR,29.106,58.357,81.23,8,0,1.5,clear sky
124,Cabo San Lucas,MX,22.8909,-109.9124,69.62,69,100,3.0,overcast clouds
125,Lorengau,PG,-2.0226,147.2712,82.44,73,100,5.12,overcast clouds
126,Moree,AU,-29.4667,149.85,60.82,94,40,5.75,light rain
127,Thompson,CA,55.7435,-97.8558,9.14,98,97,2.8,overcast clouds
128,Celestun,MX,20.8667,-90.4,77.2,86,46,12.57,scattered clouds
129,San Cristobal,VE,7.7669,-72.225,71.78,80,23,2.21,few clouds
130,Sosnovo-Ozerskoye,RU,52.5249,111.5418,36.79,38,94,22.06,overcast clouds
131,Sovetskiy,RU,61.3614,63.5842,23.94,83,100,7.94,overcast clouds
132,Bandarbeyla,SO,9.4942,50.8122,79.41,73,9,0.6,clear sky
133,Tuktoyaktuk,CA,69.4541,-133.0374,-7.89,99,100,3.98,overcast clouds
134,Broome,US,42.2506,-75.833,38.39,65,0,5.75,clear sky
135,Sicuani,PE,-14.2694,-71.2261,42.44,93,30,1.99,scattered clouds
136,Port Alfred,ZA,-33.5906,26.891,64.18,96,100,3.0,moderate rain
137,Batagay-Alyta,RU,67.8006,130.4114,13.57,79,100,2.98,overcast clouds
138,Pokhara,NP,28.2333,83.9833,80.87,49,33,6.31,scattered clouds
139,Lavrentiya,RU,65.5833,-171.0,1.27,81,0,10.98,clear sky
140,Ribeira Grande,PT,38.5167,-28.7,59.5,77,97,20.92,overcast clouds
141,Minudasht,IR,37.2289,55.3747,83.12,20,0,7.4,clear sky
142,Porosozero,RU,62.7191,32.727,18.01,88,58,5.46,broken clouds
143,Dedougou,BF,12.4667,-3.4667,86.25,45,74,10.36,broken clouds
144,College,US,64.8569,-147.8028,19.58,77,75,9.22,broken clouds
145,San Patricio,US,28.017,-97.5169,72.9,92,46,7.07,scattered clouds
146,Anadyr,RU,64.75,177.4833,12.7,67,15,11.18,few clouds
147,Sola,VU,-13.8833,167.55,80.83,78,100,12.08,overcast clouds
148,Aykhal,RU,66.0,111.5,16.9,87,100,7.9,light snow
149,Ulundi,ZA,-28.3352,31.4162,67.46,93,79,2.13,broken clouds
150,Cidreira,BR,-30.1811,-50.2056,70.43,77,31,20.22,scattered clouds
151,Grindavik,IS,63.8424,-22.4338,43.27,100,100,11.5,light intensity drizzle rain
152,Merauke,ID,-8.4667,140.3333,83.95,68,88,9.06,overcast clouds
153,Rassvet,RU,46.8333,40.75,51.78,80,100,4.25,overcast clouds
154,Krasnoborsk,RU,61.5598,45.934,24.49,92,100,9.53,overcast clouds
155,Severnyy,RU,50.677,36.5532,37.44,81,75,13.42,broken clouds
156,Puerto Carreno,CO,6.189,-67.4859,79.34,77,84,7.23,light rain
157,Pokrovsk,UA,48.282,37.1758,49.26,77,80,12.8,broken clouds
158,Nanortalik,GL,60.1432,-45.2371,35.49,90,100,6.11,overcast clouds
159,Nobeoka,JP,32.5833,131.6667,61.3,40,81,9.62,broken clouds
160,Hofn,IS,64.2539,-15.2082,41.27,89,100,7.31,overcast clouds
161,Qaanaaq,GL,77.484,-69.3632,7.5,71,21,7.9,few clouds
162,Ishinomaki,JP,38.4167,141.3,49.68,66,60,9.48,broken clouds
163,Novozybkov,RU,52.5396,31.9275,32.58,92,100,10.42,light snow
164,Longyearbyen,SJ,78.2186,15.6401,6.64,56,20,14.97,few clouds
165,Los Llanos De Aridane,ES,28.6585,-17.9182,59.13,81,100,1.14,overcast clouds
166,Kiruna,SE,67.8557,20.2251,16.72,86,100,4.61,overcast clouds
167,Iqaluit,CA,63.7506,-68.5145,17.51,94,100,8.66,overcast clouds
168,Chokurdakh,RU,70.6333,147.9167,1.29,92,24,4.47,few clouds
169,Roy,US,41.1616,-112.0263,50.76,34,0,9.22,clear sky
170,Cabra,ES,37.4725,-4.4421,43.18,55,64,5.84,broken clouds
171,Norman Wells,CA,65.282,-126.8329,-12.24,98,72,3.33,broken clouds
172,Ust-Tsilma,RU,65.441,52.1498,18.41,90,46,4.41,scattered clouds
173,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,68.58,100,99,0.85,overcast clouds
174,Codrington,AU,-38.2667,141.9667,64.62,65,96,8.79,overcast clouds
175,Taltal,CL,-25.4,-70.4833,62.33,79,0,2.55,clear sky
176,Kungurtug,RU,50.5994,97.5228,38.41,68,93,3.31,overcast clouds
177,Puerto Suarez,BO,-18.95,-57.8,68.76,92,31,3.36,scattered clouds
178,Sur,OM,22.5667,59.5289,87.3,44,53,8.32,broken clouds
179,Alice Springs,AU,-23.7,133.8833,83.75,15,0,6.91,clear sky
180,Oussouye,SN,12.485,-16.5469,67.14,78,62,4.12,broken clouds
181,Mikulasovice,CZ,50.9651,14.3637,27.3,66,100,1.99,overcast clouds
182,Mecca,SA,21.4267,39.8261,88.09,18,10,2.13,clear sky
183,Saint-Pierre,RE,-21.3393,55.4781,74.17,94,75,5.75,moderate rain
184,Srednekolymsk,RU,67.45,153.6833,6.17,76,82,2.35,broken clouds
185,Abu Samrah,SY,35.3029,37.1841,64.56,35,100,6.06,overcast clouds
186,Fortuna,US,40.5982,-124.1573,48.65,74,100,0.0,overcast clouds
187,Klaksvik,FO,62.2266,-6.589,43.72,90,100,18.9,overcast clouds
188,Praya,CV,14.9215,-23.5087,68.54,77,75,8.05,broken clouds
189,Taksimo,RU,56.3444,114.8794,26.76,54,66,20.29,broken clouds
190,Sibolga,ID,1.7427,98.7792,83.35,69,99,4.79,overcast clouds
191,Margate,GB,51.3813,1.3862,39.69,65,29,5.01,scattered clouds
192,Barcelos,PT,41.5388,-8.6151,46.69,68,0,6.82,clear sky
193,Vardo,NO,70.3705,31.1107,28.99,80,100,16.33,light snow
