City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
77,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
78,Victoria,HK,75.96,scattered clouds,22.2855,114.1577,Mini Hotel Central
81,Sao Felix Do Xingu,BR,71.37,broken clouds,-6.6447,-51.995,Rio Xingu Camping
85,Namibe,AO,70.65,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
92,Port Macquarie,AU,75.18,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
96,Yulara,AU,84.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
97,Tual,ID,82.54,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
100,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
102,Nelson Bay,AU,76.08,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
103,Adrar,MR,71.06,clear sky,20.5022,-10.0711,
105,Salalah,OM,87.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
113,Vanimo,PG,84.38,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
116,Kiama,AU,78.39,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
118,Beloha,MG,75.87,clear sky,-25.1667,45.05,
119,Saint-Philippe,RE,74.1,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
120,Hobyo,SO,83.12,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
121,Blackwater,AU,90.99,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
123,Bam,IR,81.23,clear sky,29.106,58.357,Bam Tourist Hotel
125,Lorengau,PG,82.44,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
128,Celestun,MX,77.2,scattered clouds,20.8667,-90.4,Posada Lilia
129,San Cristobal,VE,71.78,few clouds,7.7669,-72.225,Pirineos
132,Bandarbeyla,SO,79.41,clear sky,9.4942,50.8122,JABIR HOTEL
138,Pokhara,NP,80.87,scattered clouds,28.2333,83.9833,OYO 170 Hotel View Point
141,Minudasht,IR,83.12,clear sky,37.2289,55.3747,Esteghlal Hotel Minoudasht
143,Dedougou,BF,86.25,broken clouds,12.4667,-3.4667,Hôtel Bon Séjour
145,San Patricio,US,72.9,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
147,Sola,VU,80.83,overcast clouds,-13.8833,167.55,Leumerus Bungalows
150,Cidreira,BR,70.43,scattered clouds,-30.1811,-50.2056,Hotel Castelo
152,Merauke,ID,83.95,overcast clouds,-8.4667,140.3333,
156,Puerto Carreno,CO,79.34,light rain,6.189,-67.4859,Casa Hotel Victoria
178,Sur,OM,87.3,broken clouds,22.5667,59.5289,Sur Plaza Hotel
179,Alice Springs,AU,83.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
182,Mecca,SA,88.09,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
183,Saint-Pierre,RE,74.17,moderate rain,-21.3393,55.4781,Lindsey Hôtel
190,Sibolga,ID,83.35,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
194,Culaba,PH,84.88,scattered clouds,11.6578,124.5425,Junrey Veraya
195,Gizo,SB,83.95,light rain,-8.103,156.8419,Imagination Island
198,Carnarvon,AU,82.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
199,Geraldton,AU,81.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
201,Auki,SB,84.99,broken clouds,-8.7676,160.7034,Auki Motel
202,Cockburn Town,TC,77.7,few clouds,21.4612,-71.1419,Osprey Beach Hotel
203,Puro,PH,86.32,broken clouds,12.4841,123.3827,
207,Vangaindrano,MG,73.89,clear sky,-23.35,47.6,Hotel Fanilo
211,Manokwari,ID,82.8,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
213,Kahului,US,74.84,light rain,20.8947,-156.47,Maui Seaside Hotel
214,Padang,ID,86.05,clear sky,-0.9492,100.3543,Mercure Padang
216,Torit,SS,80.37,overcast clouds,4.4133,32.5678,Diplomat Guest House
218,Compostela,PH,78.55,overcast clouds,7.6731,126.0889,Cocos hotel
219,Rio Novo Do Sul,BR,72.0,light rain,-20.8625,-40.9364,POUSADA TRÊS IRMÃS
222,Flinders,AU,78.19,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
224,Linhares,BR,71.24,clear sky,-19.3911,-40.0722,Hotel Conceição
225,Dingle,PH,85.44,light rain,10.9995,122.6711,SEGAYA PROPERTY
230,Faanui,PF,82.38,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
236,Mangrol,IN,84.7,clear sky,21.1167,70.1167,Hotel The Royal Honours
239,Puerto Gaitan,CO,78.35,overcast clouds,4.3133,-72.0816,Brisas del Yucao
241,Xai-Xai,MZ,75.61,broken clouds,-25.0519,33.6442,Complexo da Familia
245,Kapoeta,SS,85.41,overcast clouds,4.7717,33.5903,Eastgate Hotel
246,Tuy Hoa,VN,72.37,moderate rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
247,Calabozo,VE,82.65,few clouds,8.9242,-67.4293,Hotel Giardini
250,Manjacaze,MZ,73.74,scattered clouds,-24.7117,33.8828,Hotel Gani
252,Saint-Joseph,RE,73.09,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
255,Bonthe,SL,76.78,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
263,Pochutla,MX,75.81,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
264,Najran,SA,72.7,clear sky,17.4924,44.1277,محمد هادي ال فطيح
267,Manaure,CO,78.58,broken clouds,11.7751,-72.4445,Hotel Palaaima
268,Micheweni,TZ,83.55,overcast clouds,-4.9667,39.8333,
269,Mana,GF,77.29,overcast clouds,5.6592,-53.7767,LE SAMANA
270,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
272,Jaboatao,BR,76.39,broken clouds,-8.1803,-35.0014,EDF Clara Nunes
280,Poum,NC,82.71,broken clouds,-20.2333,164.0167,
283,Abu Dhabi,AE,75.31,clear sky,24.4667,54.3667,Beach Rotana
286,Batalha,BR,73.65,few clouds,-9.6778,-37.1247,Pousada Solar do Sertão
288,Sao Gabriel Da Cachoeira,BR,71.28,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
289,Amahai,ID,85.19,broken clouds,-3.3333,128.9167,HOTEL ISABELA
292,Fayaoue,NC,82.6,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
293,Santa Isabel Do Rio Negro,BR,71.42,overcast clouds,-0.4139,-65.0192,Hotel GSA
296,Parrita,CR,79.59,scattered clouds,9.5201,-84.3225,Beso del Viento
302,Nawalapitiya,LK,81.05,clear sky,7.0559,80.5348,Binara Villa
303,Kaeo,NZ,73.33,light rain,-35.1,173.7833,Bushido Lodge
305,Port-Gentil,GA,78.19,overcast clouds,-0.7193,8.7815,Fengshui Residence
306,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
309,Isangel,VU,82.99,overcast clouds,-19.55,169.2667,Tanna Lodge
313,Basco,PH,73.47,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
315,Luorong,CN,71.04,clear sky,24.4058,109.6086,荣立大酒店
318,Kavieng,PG,82.29,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
320,Akyab,MM,85.21,few clouds,20.15,92.9,Hotel Memory
322,Hambantota,LK,84.94,clear sky,6.1241,81.1185,Bungalow 63
330,Tautira,PF,81.48,light rain,-17.7333,-149.15,Pension Oaoa
332,Dalbandin,PK,79.54,broken clouds,28.8947,64.4101,Sanjrani House
333,Quelimane,MZ,78.75,scattered clouds,-17.8786,36.8883,Hotel Flamingo
335,Labuhan,ID,87.24,scattered clouds,-6.8844,112.2051,DoubleFAG
339,Salinopolis,BR,77.88,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
341,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
342,Kyaikkami,MM,85.39,overcast clouds,16.08,97.5675,St. joseph catholic church
346,Manuk Mangkaw,PH,78.53,light rain,4.8,119.85,
349,Ouagadougou,BF,86.13,overcast clouds,12.3642,-1.5383,Pacific Hôtel
350,Barra Do Garcas,BR,73.98,clear sky,-15.89,-52.2567,Pousada Tropical
353,Anito,PH,82.85,scattered clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
355,Amapa,BR,71.4,overcast clouds,1.0,-52.0,
358,Itarema,BR,74.66,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
369,Emerald,AU,88.34,scattered clouds,-23.5333,148.1667,The Irish Village
371,Jacareacanga,BR,72.25,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
372,Abnub,EG,77.54,overcast clouds,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
380,Araouane,ML,80.56,clear sky,18.9048,-3.5265,
384,Nan,TH,75.22,few clouds,18.8333,100.6667,สะเนียน2
388,Boyolangu,ID,85.6,few clouds,-8.1181,111.8935,Yos ega cv
392,Rock Sound,BS,76.69,few clouds,24.9,-76.2,Pink Corral Bay Property
393,Esperance,AU,81.88,broken clouds,-33.8667,121.9,Hospitality Esperance
394,Manggar,ID,85.77,scattered clouds,-2.8833,108.2667,Guest Hotel
396,Odienne,CI,74.3,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
398,Taoudenni,ML,76.39,clear sky,22.6783,-3.9836,
401,Touros,BR,76.53,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
403,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
406,Bambous Virieux,MU,79.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
407,Bilma,NE,78.6,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
413,Gazanjyk,TM,78.66,clear sky,39.2446,55.5154,Railway motel
417,Ternate,ID,83.93,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
424,Prado,BR,75.2,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
430,Golfito,CR,75.02,overcast clouds,8.639,-83.166,Banana Bay Marina
434,Cozumel,MX,74.95,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
435,Bria,CF,72.36,broken clouds,6.5423,21.9863,WFP Guesthouse
440,Alyangula,AU,82.27,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
441,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
446,Sinnamary,GF,77.67,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
447,Mayumba,GA,76.23,overcast clouds,-3.432,10.6554,LIKWALE LODGE
448,Umm Lajj,SA,80.53,few clouds,25.0213,37.2685,Moon light Furnished Units
449,Itacarambi,BR,71.02,broken clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
450,Saint-Georges,GD,78.48,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
451,Buraydah,SA,70.25,scattered clouds,26.326,43.975,
453,Karema,TZ,70.59,light rain,-6.8205,30.4389,
456,Roebourne,AU,91.96,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
457,Piranhas,BR,72.3,clear sky,-16.4269,-51.8222,Planalto Hotel
460,Gao,ML,77.22,broken clouds,16.6362,1.637,
462,Farafangana,MG,74.1,few clouds,-22.8167,47.8333,Miarina
468,Natal,BR,80.82,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
469,Port Keats,AU,91.67,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
471,Sayat,TM,73.27,few clouds,38.7839,63.8803,
472,Ojinaga,MX,76.15,clear sky,29.5667,-104.4167,Suites Las Palmas
473,Santa Rosa,PH,91.38,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
476,Kudat,MY,84.13,moderate rain,6.8837,116.8477,Dream Garden Hotel
477,Moyo,UG,71.08,broken clouds,3.6609,31.7247,Amelia Guest House
479,Nicoya,CR,78.84,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
