City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,Labuan,5.2767,115.2417,79.16,94,20,0.0,MY,2022-04-02 17:29:57
130,Lodja,-3.4833,23.4333,74.17,92,96,3.42,CD,2022-04-02 17:29:58
131,Oksbol,55.6268,8.2876,41.11,59,59,14.63,DK,2022-04-02 17:29:58
132,Yellowknife,62.456,-114.3525,0.28,59,75,4.61,CA,2022-04-02 17:29:59
133,Uaua,-9.8414,-39.4817,87.66,42,100,15.66,BR,2022-04-02 17:29:59
134,Deniliquin,-35.5333,144.9667,57.69,78,100,6.02,AU,2022-04-02 17:30:00
135,Araouane,18.9048,-3.5265,101.05,9,4,7.61,ML,2022-04-02 17:30:00
136,Gornyy,55.1153,83.9059,25.36,95,100,3.0,RU,2022-04-02 17:31:01
137,Mount Gambier,-37.8333,140.7667,53.51,94,79,8.05,AU,2022-04-02 17:31:01
138,La Palma,33.8464,-118.0467,64.81,79,100,6.91,US,2022-04-02 17:29:39
139,Varna,43.2167,27.9167,55.54,85,47,10.36,BG,2022-04-02 17:31:02
140,At-Bashi,41.1702,75.8106,33.06,64,20,2.91,KG,2022-04-02 17:31:02
141,Lebu,-37.6167,-73.65,59.54,94,98,8.48,CL,2022-04-02 17:31:03
142,Fairbanks,64.8378,-147.7164,14.34,50,100,6.91,US,2022-04-02 17:28:52
143,Faanui,-16.4833,-151.75,81.9,72,100,5.66,PF,2022-04-02 17:31:03
144,Waddan,29.1614,16.139,79.7,14,100,12.37,LY,2022-04-02 17:31:04
145,Teya,60.3778,92.6267,2.16,100,86,3.49,RU,2022-04-02 17:31:04
146,Mangrol,21.1167,70.1167,77.63,81,3,6.31,IN,2022-04-02 17:31:04
147,Killarney,52.05,-9.5167,50.05,66,40,12.66,IE,2022-04-02 17:31:05
148,Kontagora,10.3999,5.4695,93.92,19,67,4.5,NG,2022-04-02 17:31:05
149,Vardo,70.3705,31.1107,26.78,70,100,0.87,NO,2022-04-02 17:28:46
150,Mahebourg,-20.4081,57.7,74.25,100,75,3.44,MU,2022-04-02 17:30:30
151,Alofi,-19.0595,-169.9187,71.49,100,94,1.14,NU,2022-04-02 17:31:06
152,Coihaique,-45.5752,-72.0662,51.75,62,100,5.75,CL,2022-04-02 17:28:57
153,Bredasdorp,-34.5322,20.0403,62.24,70,88,13.04,ZA,2022-04-02 17:31:07
154,Le Port,-20.9373,55.2919,75.61,87,100,7.0,RE,2022-04-02 17:31:07
155,Aransas Pass,27.9095,-97.15,81.21,77,0,8.05,US,2022-04-02 17:30:44
156,Mar Del Plata,-38.0023,-57.5575,69.82,60,0,21.0,AR,2022-04-02 17:31:07
157,Chokurdakh,70.6333,147.9167,-4.34,94,100,5.35,RU,2022-04-02 17:31:08
158,Siderno,38.2779,16.302,46.33,73,91,13.42,IT,2022-04-02 17:31:08
159,Irving,32.814,-96.9489,72.77,56,0,12.66,US,2022-04-02 17:29:51
160,Beringovskiy,63.05,179.3167,9.45,95,100,10.56,RU,2022-04-02 17:31:09
